timestamp,actual,type,forecast,forecast_p10,forecast_p90
2027-07-01,,forecast,1633.1198173301348,1629.27368467972,1639.8394603175245
2027-08-01,,forecast,1460.5138592858532,1454.8093504846343,1466.572223584187
2027-09-01,,forecast,1633.958526991215,1630.19161341497,1640.6046107122017
2027-10-01,,forecast,1654.3120811114172,1650.625226919087,1661.3814352834868
2027-11-01,,forecast,1707.9528297012773,1704.242198643348,1716.8018008663446
2027-12-01,,forecast,1512.7317208571058,1506.6498339641144,1520.9832095070992
2028-01-01,,forecast,1647.1929308626168,1642.0955334422006,1658.3017365388355
2028-02-01,,forecast,1852.1391247001427,1849.8240961731717,1866.587259506289
2028-03-01,,forecast,1785.4115881702216,1781.5867210799727,1797.4325827444243
2028-04-01,,forecast,1462.7931561608532,1455.9626236911631,1470.2595280690807
2028-05-01,,forecast,1587.9138674914095,1582.6909691268477,1595.9322894717648
2028-06-01,,forecast,1671.101121831237,1666.8372777408583,1680.444810036307
2028-07-01,,forecast,1632.9490678082857,1629.1130386289224,1639.651939550376
2028-08-01,,forecast,1460.5592415837332,1454.860486295708,1466.5948238135372
2028-09-01,,forecast,1633.5074690822744,1629.7481973101983,1640.1232864569827
2028-10-01,,forecast,1653.670861968361,1649.9945483702347,1660.7152352867286
2028-11-01,,forecast,1707.8746383477048,1704.1793851100558,1716.6949822516856
2028-12-01,,forecast,1513.1159338733466,1507.0463543017377,1521.3356042125909
2029-01-01,,forecast,1641.1210689307247,1636.0621261913252,1652.1236592526259
2029-02-01,,forecast,1849.8912571317428,1847.7178028154176,1864.7641510389653
2029-03-01,,forecast,1783.2388363913383,1779.431174630446,1795.185462793374
2029-04-01,,forecast,1462.7133586456173,1455.8956572346667,1470.1518286234116
2029-05-01,,forecast,1587.851056997212,1582.6749070036956,1595.8547515235996
2029-06-01,,forecast,1670.833153689056,1666.590744335127,1680.1724453368129
2029-07-01,,forecast,1632.7927322071123,1628.9634553901387,1639.4829516905472
2029-08-01,,forecast,1460.5987680522237,1454.9035553358403,1466.616404426543
2029-09-01,,forecast,1633.1319980225621,1629.3779433634272,1639.7236459819112
2029-10-01,,forecast,1653.1470602834868,1649.4780359545189,1660.1717265908649
2029-11-01,,forecast,1707.7742367819633,1704.0898862973288,1716.5721861020163
2029-12-01,,forecast,1513.3709433148017,1507.3107692354447,1521.5647529823652
2030-01-01,,forecast,1640.1168602907806,1635.0726713441713,1651.0731150520294
2030-02-01,,forecast,1849.3545818408002,1847.180835264847,1864.104958182054
2030-03-01,,forecast,1781.1763353783065,1777.3816267464665,1793.0386507026387
2030-04-01,,forecast,1462.8889560303746,1456.0860352575532,1470.2998766127464
2030-05-01,,forecast,1587.683894113881,1582.5306082444567,1595.6757716261993
2030-06-01,,forecast,1670.5501592485737,1666.3234817694827,1679.90298347948
2030-07-01,,forecast,1632.6568856773536,1628.833030099196,1639.3361193391793
2030-08-01,,forecast,1460.6343740882714,1454.9414042239366,1466.6375084081626
2030-09-01,,forecast,1632.8162902578774,1629.065754870656,1639.3882864164614
2030-10-01,,forecast,1652.7151208141534,1649.0511570847382,1659.7239944647952
2030-11-01,,forecast,1707.6713634190223,1703.994996130219,1716.451491992998
2030-12-01,,forecast,1513.5607059209674,1507.5082541817947,1521.7330717347963
2031-01-01,,forecast,1640.9635045221733,1635.9335674111774,1651.8713130713497
2031-02-01,,forecast,1848.8930122090574,1846.7003710734894,1863.4746813002464
2031-03-01,,forecast,1779.4336707404045,1775.6470471140756,1791.2260048260828
2031-04-01,,forecast,1463.0344785318334,1456.2439516945992,1470.4222037287668
2031-05-01,,forecast,1587.4682936292465,1582.326278749838,1595.4508892391727
2031-06-01,,forecast,1669.3281989513096,1665.1487246944696,1678.8421519425895
2031-07-01,,forecast,1632.5467270973807,1628.7267326893154,1639.218174598029
2031-08-01,,forecast,1460.7888158267958,1455.0977722421226,1466.7777656776777
2031-09-01,,forecast,1632.504851915035,1628.7554597340184,1639.05765112406
2031-10-01,,forecast,1652.337685486093,1648.675975245559,1659.334842919314
2031-11-01,,forecast,1707.6054216440289,1703.934306417758,1716.3732444161697
2031-12-01,,forecast,1513.8401005535204,1507.7975299249547,1521.9940838952282
2032-01-01,,forecast,1641.9743920797134,1636.9575402983985,1652.8339413211554
2032-02-01,,forecast,1848.2816405236968,1846.0708889150026,1862.720610939121
2032-03-01,,forecast,1777.9460398567169,1774.1637727729512,1789.6806914143542
2032-04-01,,forecast,1463.1436007804396,1456.3633638120787,1470.5116898785982
2032-05-01,,forecast,1587.2451997495787,1582.1094747836164,1595.220486842745
2032-06-01,,forecast,1668.7821662871174,1664.6156968239432,1678.3284405593556
2032-07-01,,forecast,1632.4514362762577,1628.6347129473547,1639.1161035561463
2032-08-01,,forecast,1460.8291891897368,1455.1391935862941,1466.8076055376362
2032-09-01,,forecast,1632.268675744781,1628.5210502909426,1638.8071927272433
2032-10-01,,forecast,1652.0277428844659,1648.3684857000453,1659.0133710046032
2032-11-01,,forecast,1707.5185440506677,1703.851885657093,1716.274756467194
2032-12-01,,forecast,1513.9654338409298,1507.928544800311,1522.1040028932184
2033-01-01,,forecast,1642.8628907263032,1637.857222814283,1653.6803566073975
2033-02-01,,forecast,1847.6781314834025,1845.4517214446641,1862.0024621733985
2033-03-01,,forecast,1776.6730825337138,1772.894309396071,1788.355409487649
2033-04-01,,forecast,1463.2330661631224,1456.461566086132,1470.5843146233144
2033-05-01,,forecast,1587.031634445507,1581.8999180457404,1595.000656444502
2033-06-01,,forecast,1668.331290723872,1664.1730708838497,1677.8976387245527
2033-07-01,,forecast,1632.3654045643154,1628.5512847267246,1639.024203858435
2033-08-01,,forecast,1460.8601768145422,1455.1709338936073,1466.8297225508948
2033-09-01,,forecast,1632.065968620332,1628.3197548260828,1638.5924067200467
2033-10-01,,forecast,1651.7607457331108,1648.1031169970502,1658.7350522116508
2033-11-01,,forecast,1707.4371930514135,1703.774006823781,1716.1836823902684
2033-12-01,,forecast,1514.0606502042272,1508.0284378241702,1522.186015402133
2034-01-01,,forecast,1643.610831739497,1638.6146143996368,1654.3913224722835
2034-02-01,,forecast,1847.1806083457598,1844.9407852616052,1861.419346473029
2034-03-01,,forecast,1775.3030838709155,1771.5288972340184,1786.9272298852438
2034-04-01,,forecast,1463.2941626077866,1456.5305981141403,1470.6304956966417
2034-05-01,,forecast,1586.8309999837916,1581.70190733597,1594.7946640584478
2034-06-01,,forecast,1667.9004969933221,1663.748874521849,1677.484846059712
2034-07-01,,forecast,1632.2865861441585,1628.474519215184,1638.9401247649766
2034-08-01,,forecast,1460.8898409135113,1455.2011622511993,1466.8517205329356
2034-09-01,,forecast,1631.888116227146,1628.142962570507,1638.4040659037862
2034-10-01,,forecast,1651.5250781047394,1647.8680804873898,1658.4866016435426
2034-11-01,,forecast,1707.3676241166363,1703.7069821179655,1716.106293357754
2034-12-01,,forecast,1514.1467097745397,1508.1185586383233,1522.2605694656056
2035-01-01,,forecast,1644.2441132731458,1639.2560032254928,1654.9918694080654
2035-02-01,,forecast,1846.6987861854902,1844.4471572306147,1860.8635279232042
2035-03-01,,forecast,1768.887754068335,1765.1614043049792,1780.3247475525156
2035-04-01,,forecast,1463.1419981643867,1456.3892042231264,1470.4631139984765
2035-05-01,,forecast,1586.5883323067947,1581.4597411096343,1594.5437082630965
2035-06-01,,forecast,1667.4730584235606,1663.326123755997,1677.075262679104
2035-07-01,,forecast,1632.2088825653202,1628.3983488597316,1638.856941698003
2035-08-01,,forecast,1460.911480788868,1455.223085268899,1466.86673315531
2035-09-01,,forecast,1631.7347381718425,1627.990343782417,1638.2418217955783
2035-10-01,,forecast,1651.3171786866246,1647.6602975679136,1658.2661689979902
2035-11-01,,forecast,1707.3030276476595,1703.6442784986061,1716.0350123995072
2035-12-01,,forecast,1514.227204762059,1508.2027142156703,1522.3310344268673
