dong,timestamp,pred_p10,pred_p50,pred_p90
신설동,2034-09-01,1628.1051025390625,1631.84912109375,1638.364013671875
신설동,2034-10-01,1647.80029296875,1651.45556640625,1658.41650390625
신설동,2034-11-01,1703.73486328125,1707.3929443359375,1716.133544921875
신설동,2034-12-01,1507.912109375,1513.9404296875,1522.0537109375
신설동,2035-01-01,1638.99462890625,1643.979736328125,1654.724609375
신설동,2035-02-01,1844.379150390625,1846.6246337890625,1860.78955078125
신설동,2035-03-01,1766.2130126953125,1769.946044921875,1781.4007568359375
신설동,2035-04-01,1456.38916015625,1463.140869140625,1470.46044921875
신설동,2035-05-01,1581.406005859375,1586.533447265625,1594.4888916015625
신설동,2035-06-01,1663.28369140625,1667.427734375,1677.03271484375
신설동,2035-07-01,1628.3798828125,1632.189208984375,1638.8369140625
신설동,2035-08-01,1455.21435546875,1460.90234375,1466.85693359375
신설동,2035-09-01,1627.949951171875,1631.693115234375,1638.198974609375
신설동,2035-10-01,1647.5904541015625,1651.245849609375,1658.194091796875
신설동,2035-11-01,1703.6688232421875,1707.324951171875,1716.0589599609375
신설동,2035-12-01,1507.9990234375,1514.023681640625,1522.126708984375
신수동,2026-01-01,1602.5679931640625,1607.822021484375,1619.02392578125
신수동,2026-02-01,1845.5576171875,1847.8128662109375,1863.0594482421875
신수동,2026-03-01,1781.80712890625,1785.6368408203125,1797.32177734375
신수동,2026-04-01,1456.961669921875,1463.867919921875,1471.457763671875
신수동,2026-05-01,1584.5838623046875,1589.883544921875,1598.0052490234375
신수동,2026-06-01,1667.5208740234375,1671.841552734375,1681.184814453125
신수동,2026-07-01,1629.38623046875,1633.248291015625,1639.9898681640625
신수동,2026-08-01,1454.867919921875,1460.5810546875,1466.6705322265625
신수동,2026-09-01,1630.6982421875,1634.47607421875,1641.157470703125
신수동,2026-10-01,1651.33251953125,1655.033447265625,1662.13525390625
신수동,2026-11-01,1704.313720703125,1708.0438232421875,1716.9337158203125
신수동,2026-12-01,1505.82470703125,1511.923095703125,1520.21435546875
신수동,2027-01-01,1642.67626953125,1647.805419921875,1658.9932861328125
신수동,2027-02-01,1851.0703125,1853.363525390625,1868.02734375
신수동,2027-03-01,1784.4713134765625,1788.317138671875,1800.46875
신수동,2027-04-01,1456.3275146484375,1463.17626953125,1470.6793212890625
신수동,2027-05-01,1582.873046875,1588.148681640625,1596.1923828125
신수동,2027-06-01,1667.1151123046875,1671.402099609375,1680.765380859375
신수동,2027-07-01,1629.27294921875,1633.11767578125,1639.837158203125
신수동,2027-08-01,1454.838623046875,1460.542236328125,1466.5997314453125
신수동,2027-09-01,1630.166259765625,1633.93212890625,1640.5767822265625
신수동,2027-10-01,1650.567626953125,1654.252685546875,1661.322265625
신수동,2027-11-01,1704.3194580078125,1708.02734375,1716.8798828125
신수동,2027-12-01,1506.45654296875,1512.53857421875,1520.7901611328125
신수동,2028-01-01,1642.80615234375,1647.905029296875,1659.0263671875
신수동,2028-02-01,1850.380859375,1852.670166015625,1867.1807861328125
신수동,2028-03-01,1781.389892578125,1785.207275390625,1797.221923828125
신수동,2028-04-01,1455.930419921875,1462.759521484375,1470.2247314453125
신수동,2028-05-01,1582.6702880859375,1587.889404296875,1595.90625
신수동,2028-06-01,1666.859619140625,1671.1168212890625,1680.4697265625
신수동,2028-07-01,1629.1107177734375,1632.9451904296875,1639.64794921875
신수동,2028-08-01,1454.8858642578125,1460.5838623046875,1466.618408203125
신수동,2028-09-01,1629.71875,1633.4769287109375,1640.09130859375
신수동,2028-10-01,1649.9344482421875,1653.6090087890625,1660.653564453125
신수동,2028-11-01,1704.24658203125,1707.939208984375,1716.762939453125
신수동,2028-12-01,1506.854736328125,1512.924072265625,1521.143798828125
신수동,2029-01-01,1636.1279296875,1641.183349609375,1652.1851806640625
신수동,2029-02-01,1847.66943359375,1849.8402099609375,1864.693359375
신수동,2029-03-01,1779.250732421875,1783.0518798828125,1794.994384765625
신수동,2029-04-01,1455.85791015625,1462.674072265625,1470.111572265625
신수동,2029-05-01,1582.6431884765625,1587.81640625,1595.8187255859375
신수동,2029-06-01,1666.584716796875,1670.8204345703125,1680.16943359375
신수동,2029-07-01,1628.958984375,1632.786865234375,1639.47705078125
신수동,2029-08-01,1454.9249267578125,1460.619384765625,1466.635986328125
신수동,2029-09-01,1629.345458984375,1633.098388671875,1639.6885986328125
신수동,2029-10-01,1649.416259765625,1653.08349609375,1660.1083984375
신수동,2029-11-01,1704.1494140625,1707.8310546875,1716.632080078125
신수동,2029-12-01,1507.120849609375,1513.1807861328125,1521.374267578125
신수동,2030-01-01,1634.804443359375,1639.8450927734375,1650.799560546875
신수동,2030-02-01,1847.0545654296875,1849.220947265625,1863.970947265625
신수동,2030-03-01,1777.191650390625,1780.980224609375,1792.8387451171875
신수동,2030-04-01,1456.0582275390625,1462.8597412109375,1470.26953125
신수동,2030-05-01,1582.4920654296875,1587.6431884765625,1595.6337890625
신수동,2030-06-01,1666.2900390625,1670.51025390625,1679.87451171875
신수동,2030-07-01,1628.825439453125,1632.64794921875,1639.3271484375
신수동,2030-08-01,1454.95849609375,1460.6510009765625,1466.653076171875
신수동,2030-09-01,1629.0308837890625,1632.7802734375,1639.350830078125
신수동,2030-10-01,1648.988037109375,1652.650390625,1659.6591796875
신수동,2030-11-01,1704.0478515625,1707.721435546875,1716.504638671875
신수동,2030-12-01,1507.318603515625,1513.370849609375,1521.54296875
신수동,2031-01-01,1635.6806640625,1640.707275390625,1651.612548828125
신수동,2031-02-01,1846.59423828125,1848.7796630859375,1863.361328125
신수동,2031-03-01,1775.4453125,1779.22607421875,1791.014404296875
신수동,2031-04-01,1456.2139892578125,1463.003173828125,1470.3896484375
신수동,2031-05-01,1582.279296875,1587.419677734375,1595.401123046875
신수동,2031-06-01,1665.097900390625,1669.27392578125,1678.7939453125
신수동,2031-07-01,1628.713134765625,1632.53173828125,1639.20263671875
신수동,2031-08-01,1455.09619140625,1460.786865234375,1466.775390625
신수동,2031-09-01,1628.723876953125,1632.4720458984375,1639.02392578125
신수동,2031-10-01,1648.6141357421875,1652.2740478515625,1659.27099609375
신수동,2031-11-01,1703.977294921875,1707.645751953125,1716.416015625
신수동,2031-12-01,1507.59228515625,1513.635009765625,1521.78857421875
신수동,2032-01-01,1636.70849609375,1641.721923828125,1652.578857421875
신수동,2032-02-01,1845.981689453125,1848.1854248046875,1862.62451171875
신수동,2032-03-01,1773.9537353515625,1777.730224609375,1789.4605712890625
신수동,2032-04-01,1456.331787109375,1463.1107177734375,1470.4775390625
신수동,2032-05-01,1582.0556640625,1587.18994140625,1595.1639404296875
신수동,2032-06-01,1664.5927734375,1668.757080078125,1678.30517578125
신수동,2032-07-01,1628.619873046875,1632.4351806640625,1639.0992431640625
신수동,2032-08-01,1455.132080078125,1460.82177734375,1466.799560546875
