cluster,timestamp,var_p10,var_p50,var_p90
하락,2029-03-01,978.7967496198804,978.7967496198804,978.7967496198804
하락,2029-04-01,998.6748386476918,998.6748386476918,998.6748386476918
하락,2029-05-01,964.7748206859465,964.7748206859465,964.7748206859465
하락,2029-06-01,860.0955923333054,860.0955923333054,860.0955923333054
하락,2029-07-01,905.5942091931898,905.5942091931898,905.5942091931898
하락,2029-08-01,893.8591905989847,893.8591905989847,893.8591905989847
하락,2029-09-01,900.6216939952526,900.6216939952526,900.6216939952526
하락,2029-10-01,906.2361112405133,906.2361112405133,906.2361112405133
하락,2029-11-01,906.6355250810874,906.6355250810874,906.6355250810874
하락,2029-12-01,915.0360645538677,915.0360645538677,915.0360645538677
하락,2030-01-01,895.5829437381108,895.5829437381108,895.5829437381108
하락,2030-02-01,867.9939996890369,867.9939996890369,867.9939996890369
하락,2030-03-01,893.0889231817016,893.0889231817016,893.0889231817016
하락,2030-04-01,919.579429056584,919.579429056584,919.579429056584
하락,2030-05-01,946.8606520929566,946.8606520929566,946.8606520929566
하락,2030-06-01,982.4088726111869,982.4088726111869,982.4088726111869
하락,2030-07-01,1008.9579045939028,1008.9579045939028,1008.9579045939028
하락,2030-08-01,1036.9752057532558,1036.9752057532558,1036.9752057532558
하락,2030-09-01,1059.2862128739487,1059.2862128739487,1059.2862128739487
하락,2030-10-01,1093.0577564248847,1093.0577564248847,1093.0577564248847
하락,2030-11-01,1107.5269396022777,1107.5269396022777,1107.5269396022777
하락,2030-12-01,1116.8313723401202,1116.8313723401202,1116.8313723401202
하락,2031-01-01,1111.8168624187817,1111.8168624187817,1111.8168624187817
하락,2031-02-01,1019.6404281255745,1019.6404281255745,1019.6404281255745
하락,2031-03-01,1051.9022992895764,1051.9022992895764,1051.9022992895764
하락,2031-04-01,1149.1033001119956,1149.1033001119956,1149.1033001119956
하락,2031-05-01,1139.8669789167984,1139.8669789167984,1139.8669789167984
하락,2031-06-01,1163.2189740176136,1163.2189740176136,1163.2189740176136
하락,2031-07-01,1260.915193417534,1260.915193417534,1260.915193417534
하락,2031-08-01,1283.9055842461753,1283.9055842461753,1283.9055842461753
하락,2031-09-01,1347.1543587055264,1347.1543587055264,1347.1543587055264
하락,2031-10-01,1409.32325444767,1409.32325444767,1409.32325444767
하락,2031-11-01,1387.7825882841669,1387.7825882841669,1387.7825882841669
하락,2031-12-01,1420.932378509481,1420.932378509481,1420.932378509481
하락,2032-01-01,1444.9805226316314,1444.9805226316314,1444.9805226316314
하락,2032-02-01,1408.6044273255159,1408.6044273255159,1408.6044273255159
하락,2032-03-01,1306.208102927428,1306.208102927428,1306.208102927428
하락,2032-04-01,1305.760664346597,1305.760664346597,1305.760664346597
하락,2032-05-01,1262.208027713141,1262.208027713141,1262.208027713141
