dong,adf_stat,p_value,used_lag,n_obs,is_stationary
삼성동,-2.43113255692991,0.36320309577544874,10,181,False
삼전동,-2.43113255692991,0.36320309577544874,10,181,False
상계동,-2.43113255692991,0.36320309577544874,10,181,False
상도1동,-2.43113255692991,0.36320309577544874,10,181,False
상도동,-2.43113255692991,0.36320309577544874,10,181,False
상봉동,-2.43113255692991,0.36320309577544874,10,181,False
상수동,-2.43113255692991,0.36320309577544874,10,181,False
상암동,-2.43113255692991,0.36320309577544874,10,181,False
상왕십리동,-2.43113255692991,0.36320309577544874,10,181,False
상월곡동,-2.43113255692991,0.36320309577544874,10,181,False
상일동,-2.43113255692991,0.36320309577544874,10,181,False
서계동,-2.43113255692991,0.36320309577544874,10,181,False
서교동,-2.43113255692991,0.36320309577544874,10,181,False
서빙고동,-2.43113255692991,0.36320309577544874,10,181,False
서초동,-2.43113255692991,0.36320309577544874,10,181,False
석관동,-2.43113255692991,0.36320309577544874,10,181,False
석촌동,-2.43113255692991,0.36320309577544874,10,181,False
성내동,-2.43113255692991,0.36320309577544874,10,181,False
성북동,-2.43113255692991,0.36320309577544874,10,181,False
성산동,-2.43113255692991,0.36320309577544874,10,181,False
세곡동,-2.43113255692991,0.36320309577544874,10,181,False
송정동,-2.43113255692991,0.36320309577544874,10,181,False
송파동,-2.43113255692991,0.36320309577544874,10,181,False
수색동,-2.43113255692991,0.36320309577544874,10,181,False
수서동,-2.43113255692991,0.36320309577544874,10,181,False
수송동,-2.43113255692991,0.36320309577544874,10,181,False
수유동,-2.43113255692991,0.36320309577544874,10,181,False
순화동,-2.43113255692991,0.36320309577544874,10,181,False
숭인동,-2.43113255692991,0.36320309577544874,10,181,False
시흥동,-2.43113255692991,0.36320309577544874,10,181,False
신계동,-2.43113255692991,0.36320309577544874,10,181,False
신공덕동,-2.43113255692991,0.36320309577544874,10,181,False
신교동,-2.43113255692991,0.36320309577544874,10,181,False
신길동,-2.43113255692991,0.36320309577544874,10,181,False
신내동,-2.43113255692991,0.36320309577544874,10,181,False
신당동,-2.43113255692991,0.36320309577544874,10,181,False
신대방동,-2.43113255692991,0.36320309577544874,10,181,False
신도림동,-2.43113255692991,0.36320309577544874,10,181,False
신림동,-2.43113255692991,0.36320309577544874,10,181,False
신사동,-2.2291706940511555,0.4734523670472703,16,367,False
신설동,-2.43113255692991,0.36320309577544874,10,181,False
신수동,-2.43113255692991,0.36320309577544874,10,181,False
신영동,-2.43113255692991,0.36320309577544874,10,181,False
신원동,-2.43113255692991,0.36320309577544874,10,181,False
신월동,-2.43113255692991,0.36320309577544874,10,181,False
신정동,-2.43113255692991,0.36320309577544874,10,181,False
신창동,-2.43113255692991,0.36320309577544874,10,181,False
신천동,-2.43113255692991,0.36320309577544874,10,181,False
쌍문동,-2.43113255692991,0.36320309577544874,10,181,False
아현동,-2.43113255692991,0.36320309577544874,10,181,False
암사동,-2.43113255692991,0.36320309577544874,10,181,False
압구정동,-2.43113255692991,0.36320309577544874,10,181,False
양재동,-2.43113255692991,0.36320309577544874,10,181,False
여의도동,-2.43113255692991,0.36320309577544874,10,181,False
역삼동,-2.43113255692991,0.36320309577544874,10,181,False
역촌동,-2.43113255692991,0.36320309577544874,10,181,False
연건동,-2.43113255692991,0.36320309577544874,10,181,False
연남동,-2.43113255692991,0.36320309577544874,10,181,False
연지동,-2.43113255692991,0.36320309577544874,10,181,False
연희동,-2.43113255692991,0.36320309577544874,10,181,False
염리동,-2.43113255692991,0.36320309577544874,10,181,False
염창동,-2.43113255692991,0.36320309577544874,10,181,False
영등포동,-2.43113255692991,0.36320309577544874,10,181,False
영천동,-2.43113255692991,0.36320309577544874,10,181,False
오금동,-2.43113255692991,0.36320309577544874,10,181,False
오류동,-2.43113255692991,0.36320309577544874,10,181,False
오장동,-2.43113255692991,0.36320309577544874,10,181,False
옥수동,-2.43113255692991,0.36320309577544874,10,181,False
옥인동,-2.43113255692991,0.36320309577544874,10,181,False
온수동,-2.43113255692991,0.36320309577544874,10,181,False
용강동,-2.43113255692991,0.36320309577544874,10,181,False
용답동,-2.43113255692991,0.36320309577544874,10,181,False
용두동,-2.43113255692991,0.36320309577544874,10,181,False
용문동,-2.43113255692991,0.36320309577544874,10,181,False
우면동,-2.43113255692991,0.36320309577544874,10,181,False
우이동,-2.43113255692991,0.36320309577544874,10,181,False
월계동,-2.43113255692991,0.36320309577544874,10,181,False
율현동,-2.43113255692991,0.36320309577544874,10,181,False
응봉동,-2.43113255692991,0.36320309577544874,10,181,False
응암동,-2.43113255692991,0.36320309577544874,10,181,False
이문동,-2.43113255692991,0.36320309577544874,10,181,False
이촌동,-2.43113255692991,0.36320309577544874,10,181,False
이태원동,-2.43113255692991,0.36320309577544874,10,181,False
익선동,-2.43113255692991,0.36320309577544874,10,181,False
인의동,-2.43113255692991,0.36320309577544874,10,181,False
일원동,-2.43113255692991,0.36320309577544874,10,181,False
입정동,-2.43113255692991,0.36320309577544874,10,181,False
자곡동,-2.43113255692991,0.36320309577544874,10,181,False
자양동,-2.43113255692991,0.36320309577544874,10,181,False
잠실동,-2.43113255692991,0.36320309577544874,10,181,False
잠원동,-2.43113255692991,0.36320309577544874,10,181,False
