timestamp,dong,pred_p10,pred_p50,pred_p90
2034-10-01,개포동,2895.4031506120755,2946.2142742505016,2990.8238772980303
2034-11-01,개포동,2917.2480783582923,2967.6381816325984,3009.7113961687346
2034-12-01,개포동,2923.2683116047733,2976.3815786239024,3022.892178927003
2035-01-01,개포동,2931.424194907908,2977.935307149337,3031.041020045724
2035-02-01,개포동,2945.188825156497,2997.0786554345577,3042.9078888461554
2035-03-01,개포동,2962.8449002916695,3009.967428635183,3064.2663389634217
2035-04-01,개포동,2978.768355421358,3027.2342890989457,3077.2730184294123
2035-05-01,개포동,3007.788037607975,3056.3262010567596,3103.8418170104137
2035-06-01,개포동,3011.6753136674333,3061.214420459728,3110.545626457697
2035-07-01,개포동,3030.3577352033876,3082.1290194672333,3137.163021660015
2035-08-01,개포동,3043.1814775437656,3090.8522259007286,3144.1840735913893
2035-09-01,개포동,3068.6019767093676,3119.545440719143,3168.7257111741383
2035-10-01,개포동,3071.419537980836,3122.224498384588,3171.522393700037
2035-11-01,개포동,3083.764957099518,3138.4854673762766,3193.6521913370157
2035-12-01,개포동,3101.5581268445667,3156.540398155951,3201.932042352808
