,ecos__base_rate,ecos__cd_91d_rate,ecos__cpi_housing,ecos__mortgage_rate_new,ecos__unemployment_rate,reb__apt_jeonse_avg_price,reb__apt_jeonse_supply_demand,reb__apt_monthly_rent_supply_demand,reb__apt_sale_avg_price,reb__apt_sale_index,reb__apt_sale_supply_demand,policy__dsr_regime,policy__dti_regime,policy__ltv_regime,policy__real_estate_policy_regime,policy__capital_gains_tax_regime,policy__adjustment_target_area_regime,policy__comprehensive_real_estate_tax_regime,policy__acquisition_tax_regime,policy__speculative_overheated_district_regime,policy__speculative_zone_regime
reb__apt_sale_supply_demand,-0.02968511119293493,-0.021772595663400823,-0.12416076639502784,-0.046450880631589954,-0.12170323810626807,-1.2565564692005688,5.822152195056251,2.302793687651756,15.386298847588552,1.8707389501547864,12.286794567530652,0.017381621133647048,-0.05377312445232267,-0.04414778159168947,-0.006321351680031549,-0.03284081596555891,0.005872546115310017,0.051002342091672634,0.07254145220848689,-0.1375994843458691,-0.13759948434586922
policy__dsr_regime,-0.0005407705971243244,-0.00034596826369763853,0.0006316541360808192,3.85338822175824e-05,0.0012554241931409373,-0.025557846810150654,0.011466240737380147,0.0007472501057678645,-0.13017600456375283,0.0062409801379959525,0.017381621133647048,0.004742559691659956,-0.0002840767553049128,-0.00099578613903765,-4.666140026567355e-05,9.465004802638991e-05,-1.6647441712103755e-05,-0.0004908756087852396,0.000430192237868952,-0.00038838479082160224,-0.00038838479082160305
policy__dti_regime,0.0027811234963595172,0.0010587882241459496,-0.00497435077828858,-0.0015501964490206902,0.009040303849486146,-0.16709385756103695,-0.07171232017485538,-0.027182497365028303,-0.7938096424785469,-0.021667206553584464,-0.05377312445232267,-0.0002840767553049128,0.08743907612443307,0.08674599312746331,-0.0018184582956327095,0.020287356034665513,-0.0011654496645478439,-0.00019994830597859037,0.011684094659932195,0.02183451248931762,0.021834512489317618
policy__ltv_regime,-7.255963947626984e-05,-0.0022112648178821133,-0.002716200889634109,-0.0036452955976014386,-0.001105154220838436,-0.2658320219132874,-0.10139958331202759,-0.048883897732784155,-0.8960784720170379,0.03690943468521553,-0.04414778159168947,-0.00099578613903765,0.08674599312746331,0.17206239414639948,-0.0017287907360220751,0.08233191590513236,-0.0012376330360484534,0.0026835190893454226,0.009384834554737055,0.053693885581310254,0.05369388558131019
policy__real_estate_policy_regime,0.0004545946341422072,-5.9265183740897486e-05,0.009421784784816027,0.0012513178073283522,-0.009445245289229508,0.22839327753426034,0.07077252652263637,0.0295620819508329,0.17131813353633055,-0.00757305792792173,-0.006321351680031549,-4.666140026567355e-05,-0.0018184582956327095,-0.0017287907360220751,0.04059170818849772,0.00010087747733920305,0.010586231737177942,-0.00021508699398887273,0.0006656331986943744,0.0005412069454122381,0.0005412069454122406
policy__capital_gains_tax_regime,-0.0029643102781221047,-0.000784307513291698,-0.00484295965747608,-0.001048804780905531,-0.005021246906375983,-0.24852744324305998,-0.08336158726088602,-0.06079956440899112,0.07669490598822945,0.030137297763804492,-0.03284081596555891,9.465004802638991e-05,0.020287356034665513,0.08233191590513236,0.00010087747733920305,0.09216643477656757,0.000686485439572715,0.0035715741022026887,-0.0019105996568855785,0.047213274699057395,0.0472132746990574
policy__adjustment_target_area_regime,0.00022050692952082588,0.00017298393601834953,0.0029037859994325327,0.0004900092765867332,-0.0014908860386689815,-0.05281752926899005,0.0032069391816545727,-0.001861180420912136,-0.04388671220171917,0.002664583051478984,0.005872546115310017,-1.6647441712103755e-05,-0.0011654496645478439,-0.0012376330360484534,0.010586231737177942,0.000686485439572715,0.005275176686547751,-0.0005030473755892126,-0.00022383834305053654,0.00013685877215739603,0.0001368587721573965
policy__comprehensive_real_estate_tax_regime,-0.0009052428699572844,0.0028095633907029454,0.010793613252118814,-0.001284594674297752,-0.009667257011399815,0.16760887791145332,0.004657743956880651,0.04839788416868465,-0.17551610789866584,-0.04466891687346446,0.051002342091672634,-0.0004908756087852396,-0.00019994830597859037,0.0026835190893454226,-0.00021508699398887273,0.0035715741022026887,-0.0005030473755892126,0.03844420932374056,-0.0007937237519372468,0.0010662002346749865,0.0010662002346749837
policy__acquisition_tax_regime,0.001475444816600498,0.0006419231070130401,-0.023125749617527294,-0.0006659495970374456,-0.002193562427942281,0.07443298602507095,-0.0005069908836500696,0.029223601350562872,0.19848367108302248,0.0057834103034567165,0.07254145220848689,0.000430192237868952,0.011684094659932195,0.009384834554737055,0.0006656331986943744,-0.0019105996568855785,-0.00022383834305053654,-0.0007937237519372468,0.02484894069882871,-4.336245454392231e-05,-4.33624545439224e-05
policy__speculative_overheated_district_regime,0.0016442697445249418,-0.00019535362108688982,-0.0011746253687176852,-3.915456209547957e-06,-0.002163059963143836,-0.21157866852037813,-0.11075956021716267,-0.04632355066197615,-0.4326260624472911,0.003326513446695514,-0.1375994843458691,-0.00038838479082160224,0.02183451248931762,0.053693885581310254,0.0005412069454122381,0.047213274699057395,0.00013685877215739603,0.0010662002346749865,-4.336245454392231e-05,0.07660806737544724,0.07660806737544723
policy__speculative_zone_regime,0.0016442697445249411,-0.00019535362108688998,-0.001174625368717689,-3.915456209548135e-06,-0.0021630599631438387,-0.21157866852037807,-0.11075956021716268,-0.04632355066197613,-0.43262606244729146,0.0033265134466955223,-0.13759948434586922,-0.00038838479082160305,0.021834512489317618,0.05369388558131019,0.0005412069454122406,0.0472132746990574,0.0001368587721573965,0.0010662002346749837,-4.33624545439224e-05,0.07660806737544723,0.07660806737544724
