step,timestamp,N_scenarios,p5,p10,p25,p50,p75,p90,p95
35,2028-11-01,730,1401.7289846047777,1493.8348774087701,1635.7763749729922,1795.5856734804188,1950.330258546998,2103.2556452835192,2180.2890931184515
36,2028-12-01,730,1421.0888200203185,1501.2709359570285,1647.9265872462229,1800.3363161142945,1974.343441435637,2122.0724225653,2188.8369382289015
37,2029-01-01,730,1410.6109514290076,1508.536629201215,1654.3683714272297,1821.8548088380303,1987.6260685308903,2139.343559382879,2216.2155709136036
38,2029-02-01,730,1424.6898937244816,1527.0675142496216,1656.839718421042,1828.8799265360663,2000.2868719349085,2161.3208982373653,2257.7981291312703
39,2029-03-01,730,1442.3640206963382,1528.070646195531,1668.9960044238765,1846.1897633956187,2023.0696073404004,2187.6872423576738,2280.6356098440215
40,2029-04-01,730,1457.894620008918,1539.6242429589604,1673.427294563603,1865.161764624815,2024.4511215442985,2195.0466205881908,2311.306265889854
41,2029-05-01,730,1465.8756014251076,1548.6928098619464,1691.866676708415,1877.5608375867314,2050.3327782905676,2227.598367106931,2314.1931944349976
42,2029-06-01,730,1469.9413689229182,1566.1703094961993,1702.4056625003104,1892.4793680978169,2067.3284721090913,2243.2329587121976,2333.509380616477
43,2029-07-01,730,1464.2508889923329,1571.2139956735218,1712.0069681454297,1901.789923143225,2080.8837985826262,2256.0927944951973,2367.7314664668893
44,2029-08-01,730,1483.6692028732666,1583.502300380498,1730.4421058088203,1914.4449090448593,2097.215902701786,2277.974436083784,2382.785786815607
45,2029-09-01,730,1500.4414691469217,1604.074095088506,1739.0545937969293,1928.7151632470452,2115.5799188579,2283.5929322839606,2400.9946886560815
46,2029-10-01,730,1518.9166831321381,1604.7843161825724,1764.10094438282,1938.937058547349,2139.3886297313647,2303.962725299494,2432.798153755879
47,2029-11-01,730,1529.357059797394,1623.7640276625139,1780.0230034720453,1940.6975087869075,2159.861522703562,2319.316048099345,2464.83784632769
48,2029-12-01,730,1539.951920940215,1634.7699963766165,1791.71379529777,1961.4290501887551,2181.5866449577225,2348.048433105877,2461.7410357113454
49,2030-01-01,730,1549.0620643744428,1643.7464009217485,1809.15494811175,1984.0373666142543,2192.197115866756,2369.702152673284,2474.805041024248
50,2030-02-01,730,1544.7855336345247,1653.7738964007597,1810.4528640451797,1990.239624961166,2216.8857433585154,2403.693813557622,2495.5584125188843
51,2030-03-01,730,1569.861493759787,1661.4469126664367,1813.1311189687333,2003.1429411260135,2234.217218459614,2407.2409627030634,2508.537019236704
52,2030-04-01,730,1566.9003028267969,1689.575762129936,1839.5278520172687,2021.8729437827626,2247.5277918390134,2412.502001975271,2533.0617336956484
