hybrid_alpha,residual_decay,hybrid_quantile_shrink,rmse,mae,mape,coverage80,band_width,band_width_pct
0.6,0.65,0.6,114.09967524802808,87.69141091869508,5.75187729089115,88.88888888888889,394.3928673931364,26.09187268944168
0.6,0.65,0.8,114.09967524802808,87.69141091869508,5.75187729089115,88.88888888888889,394.968659114129,26.129965377017587
0.8,0.6,0.2,114.1599539466033,87.56077535795065,5.741851047140471,88.88888888888889,393.5264051196684,26.03455009261339
0.8,0.6,0.4,114.1599539466033,87.56077535795065,5.741851047140471,88.88888888888889,394.15682823465187,26.076257032612972
0.8,0.6,0.6,114.1599539466033,87.56077535795065,5.741851047140471,88.88888888888889,394.79062758689145,26.118187334544125
0.8,0.6,0.8,114.1599539466033,87.56077535795065,5.741851047140471,88.88888888888889,395.4199417068365,26.159820906692133
0.8,0.6,1.0,114.1599539466033,87.56077535795065,5.741851047140471,88.88888888888889,396.03731037147395,26.20066420263368
0.7,0.6,0.2,114.46503113231661,87.82186396919205,5.760551288660041,88.88888888888889,393.6427171337423,26.04224495353602
0.7,0.6,0.6,114.46503113231661,87.82186396919205,5.760551288660041,88.88888888888889,394.7319207081393,26.114303460029554
0.7,0.6,0.4,114.46503113231661,87.82186396919205,5.760551288660041,88.88888888888889,394.18542170350185,26.078148692454374
0.7,0.6,0.8,114.46503113231661,87.82186396919205,5.760551288660041,88.88888888888889,395.28361432095215,26.150801887610758
0.7,0.6,1.0,114.46503113231661,87.82186396919205,5.760551288660041,88.88888888888889,395.834088672727,26.18721965246601
0.6,0.6,0.8,114.74276397166055,88.05321399072746,5.77705555943481,88.88888888888889,395.1356105609707,26.141010393944757
0.6,0.6,1.0,114.74276397166055,88.05321399072746,5.77705555943481,88.88888888888889,395.6249216088645,26.173381774420196
0.6,0.6,0.6,114.74276397166055,88.05321399072746,5.77705555943481,88.88888888888889,394.6496611301984,26.10886140817576
0.6,0.6,0.4,114.74276397166055,88.05321399072746,5.77705555943481,88.88888888888889,394.17047028386173,26.077159550484453
0.6,0.6,0.2,114.74276397166055,88.05321399072746,5.77705555943481,88.88888888888889,393.6975392331786,26.04587182247134
1.0,0.55,0.6,114.86570974991986,87.9305689895697,5.766097327245805,88.88888888888889,395.4290144580045,26.160421133237772
1.0,0.55,0.4,114.86570974991986,87.9305689895697,5.766097327245805,88.88888888888889,394.7709925763977,26.116888339971922
1.0,0.55,0.2,114.86570974991986,87.9305689895697,5.766097327245805,88.88888888888889,394.11824871265924,26.073704724852178
1.0,0.55,1.0,114.86570974991986,87.9305689895697,5.766097327245805,88.88888888888889,396.7557200943992,26.248192077955867
1.0,0.55,0.8,114.86570974991986,87.9305689895697,5.766097327245805,88.88888888888889,396.0872121624905,26.203965558428433
0.9,0.55,0.4,114.98664982728496,88.05407817236839,5.775409655251867,88.88888888888889,394.7392832764672,26.114790545905997
