lag,dependent,regressor,coef
1,reb__apt_jeonse_avg_price,ecos__mortgage_rate_new,10.328415017786783
1,reb__apt_jeonse_avg_price,ecos__unemployment_rate,-13.100240750244538
1,reb__apt_jeonse_avg_price,reb__apt_jeonse_avg_price,0.19783390447554755
1,reb__apt_jeonse_avg_price,reb__apt_jeonse_supply_demand,0.5237611282665363
1,reb__apt_jeonse_avg_price,reb__apt_monthly_rent_supply_demand,0.05948959441083588
1,reb__apt_jeonse_avg_price,reb__apt_sale_avg_price,0.014923392207014352
1,reb__apt_jeonse_avg_price,reb__apt_sale_index,0.8318859870007218
1,reb__apt_jeonse_avg_price,reb__apt_sale_supply_demand,-0.5539110417253456
1,reb__apt_jeonse_avg_price,policy__dsr_regime,0.22758385553447577
1,reb__apt_jeonse_avg_price,policy__dti_regime,1.8144080481548728
1,reb__apt_jeonse_avg_price,policy__ltv_regime,-2.132819637488776
1,reb__apt_jeonse_avg_price,policy__real_estate_policy_regime,1.3693683378912744
1,reb__apt_jeonse_avg_price,policy__capital_gains_tax_regime,0.7606513595873402
1,reb__apt_jeonse_avg_price,policy__adjustment_target_area_regime,-3.125737690903096
1,reb__apt_jeonse_avg_price,policy__comprehensive_real_estate_tax_regime,-0.1938305870908138
1,reb__apt_jeonse_avg_price,policy__acquisition_tax_regime,-0.7007283124249926
1,reb__apt_jeonse_avg_price,policy__speculative_overheated_district_regime,-0.36061473441185377
1,reb__apt_jeonse_avg_price,policy__speculative_zone_regime,-0.36061473441185155
1,reb__apt_jeonse_supply_demand,ecos__base_rate,-1.3908814950555888
1,reb__apt_jeonse_supply_demand,ecos__cd_91d_rate,-6.31121305869906
1,reb__apt_jeonse_supply_demand,ecos__cpi_housing,-0.2219826506794863
1,reb__apt_jeonse_supply_demand,ecos__mortgage_rate_new,-1.8797885019059806
1,reb__apt_jeonse_supply_demand,ecos__unemployment_rate,0.4899570529093872
1,reb__apt_jeonse_supply_demand,reb__apt_jeonse_avg_price,0.03157771098455488
1,reb__apt_jeonse_supply_demand,reb__apt_jeonse_supply_demand,0.31097356269199594
1,reb__apt_jeonse_supply_demand,reb__apt_monthly_rent_supply_demand,-0.07665172963255547
1,reb__apt_jeonse_supply_demand,reb__apt_sale_avg_price,0.0031232272667500727
1,reb__apt_jeonse_supply_demand,reb__apt_sale_index,0.17773029528611095
1,reb__apt_jeonse_supply_demand,reb__apt_sale_supply_demand,0.01371153960425596
1,reb__apt_jeonse_supply_demand,policy__dsr_regime,-0.4792663610531407
1,reb__apt_jeonse_supply_demand,policy__dti_regime,0.45115567401121726
1,reb__apt_jeonse_supply_demand,policy__ltv_regime,-0.4909736553098428
1,reb__apt_jeonse_supply_demand,policy__real_estate_policy_regime,0.03347070830839829
1,reb__apt_jeonse_supply_demand,policy__capital_gains_tax_regime,0.14274038059763078
1,reb__apt_jeonse_supply_demand,policy__adjustment_target_area_regime,-0.21254909825188162
1,reb__apt_jeonse_supply_demand,policy__comprehensive_real_estate_tax_regime,0.08997874879610929
1,reb__apt_jeonse_supply_demand,policy__acquisition_tax_regime,0.5977508896968294
1,reb__apt_jeonse_supply_demand,policy__speculative_overheated_district_regime,0.13035480044391465
1,reb__apt_jeonse_supply_demand,policy__speculative_zone_regime,0.13035480044390155
1,reb__apt_monthly_rent_supply_demand,ecos__base_rate,0.07665182377259212
1,reb__apt_monthly_rent_supply_demand,ecos__cd_91d_rate,-2.2140395602169383
1,reb__apt_monthly_rent_supply_demand,ecos__cpi_housing,0.019425560201482964
1,reb__apt_monthly_rent_supply_demand,ecos__mortgage_rate_new,0.016562405648210047
1,reb__apt_monthly_rent_supply_demand,ecos__unemployment_rate,0.3458156475274507
1,reb__apt_monthly_rent_supply_demand,reb__apt_jeonse_avg_price,0.03460275160053953
1,reb__apt_monthly_rent_supply_demand,reb__apt_jeonse_supply_demand,0.1225900142128745
1,reb__apt_monthly_rent_supply_demand,reb__apt_monthly_rent_supply_demand,0.9617370721518732
1,reb__apt_monthly_rent_supply_demand,reb__apt_sale_avg_price,0.0013948882609547521
1,reb__apt_monthly_rent_supply_demand,reb__apt_sale_index,0.09050080537875096
1,reb__apt_monthly_rent_supply_demand,reb__apt_sale_supply_demand,0.03896074322880591
1,reb__apt_monthly_rent_supply_demand,policy__dsr_regime,-0.10263569063207566
1,reb__apt_monthly_rent_supply_demand,policy__dti_regime,0.17010448972430564
1,reb__apt_monthly_rent_supply_demand,policy__ltv_regime,-0.07580570513903812
1,reb__apt_monthly_rent_supply_demand,policy__real_estate_policy_regime,0.2647084460572851
1,reb__apt_monthly_rent_supply_demand,policy__capital_gains_tax_regime,-0.41359309344280026
1,reb__apt_monthly_rent_supply_demand,policy__adjustment_target_area_regime,-0.1292883692987174
1,reb__apt_monthly_rent_supply_demand,policy__comprehensive_real_estate_tax_regime,0.35693420370547396
1,reb__apt_monthly_rent_supply_demand,policy__acquisition_tax_regime,-0.057822881321006464
1,reb__apt_monthly_rent_supply_demand,policy__speculative_overheated_district_regime,0.08711311376649697
1,reb__apt_monthly_rent_supply_demand,policy__speculative_zone_regime,0.08711311376649264
1,reb__apt_sale_avg_price,ecos__base_rate,10.278522638577702
1,reb__apt_sale_avg_price,ecos__cd_91d_rate,-91.61334563849904
1,reb__apt_sale_avg_price,ecos__cpi_housing,0.7841026413893221
1,reb__apt_sale_avg_price,ecos__mortgage_rate_new,-37.65124114579296
1,reb__apt_sale_avg_price,ecos__unemployment_rate,-7.403613694312226
1,reb__apt_sale_avg_price,reb__apt_jeonse_avg_price,-0.3337146058569435
1,reb__apt_sale_avg_price,reb__apt_jeonse_supply_demand,1.725382791349655
1,reb__apt_sale_avg_price,reb__apt_monthly_rent_supply_demand,0.3673553081500117
1,reb__apt_sale_avg_price,reb__apt_sale_avg_price,0.015766629633432006
1,reb__apt_sale_avg_price,reb__apt_sale_index,-6.757789150369343
1,reb__apt_sale_avg_price,reb__apt_sale_supply_demand,-0.6867598772533142
1,reb__apt_sale_avg_price,policy__dsr_regime,-7.270727020685192
1,reb__apt_sale_avg_price,policy__dti_regime,-1.0572689641684279
1,reb__apt_sale_avg_price,policy__ltv_regime,-2.789151486498797
1,reb__apt_sale_avg_price,policy__real_estate_policy_regime,-2.7753826573121083
1,reb__apt_sale_avg_price,policy__capital_gains_tax_regime,19.108744891795784
1,reb__apt_sale_avg_price,policy__adjustment_target_area_regime,12.266760968733252
1,reb__apt_sale_avg_price,policy__comprehensive_real_estate_tax_regime,-8.549168794708644
1,reb__apt_sale_avg_price,policy__acquisition_tax_regime,1.5058461795794322
1,reb__apt_sale_avg_price,policy__speculative_overheated_district_regime,-0.3488826045573534
1,reb__apt_sale_avg_price,policy__speculative_zone_regime,-0.3488826045574529
1,reb__apt_sale_index,ecos__base_rate,0.5409784028026773
1,reb__apt_sale_index,ecos__cd_91d_rate,-1.9092403039425172
1,reb__apt_sale_index,ecos__cpi_housing,-0.24432170202886835
1,reb__apt_sale_index,ecos__mortgage_rate_new,-2.055229802259601
1,reb__apt_sale_index,ecos__unemployment_rate,0.3874779720610475
1,reb__apt_sale_index,reb__apt_jeonse_avg_price,0.0040116035605881955
1,reb__apt_sale_index,reb__apt_jeonse_supply_demand,0.015296434040785704
1,reb__apt_sale_index,reb__apt_monthly_rent_supply_demand,0.026867069598203577
1,reb__apt_sale_index,reb__apt_sale_avg_price,0.0037531636825670622
1,reb__apt_sale_index,reb__apt_sale_index,0.39583789467224295
1,reb__apt_sale_index,reb__apt_sale_supply_demand,0.051666946917388934
1,reb__apt_sale_index,policy__dsr_regime,0.2849522409576306
1,reb__apt_sale_index,policy__dti_regime,0.08176586078777057
1,reb__apt_sale_index,policy__ltv_regime,-0.20275351561770916
1,reb__apt_sale_index,policy__real_estate_policy_regime,0.12734904141111422
1,reb__apt_sale_index,policy__capital_gains_tax_regime,0.631558194920037
1,reb__apt_sale_index,policy__adjustment_target_area_regime,-0.30688487775920875
1,reb__apt_sale_index,policy__comprehensive_real_estate_tax_regime,-0.44508254132106934
1,reb__apt_sale_index,policy__acquisition_tax_regime,0.02064512120202787
1,reb__apt_sale_index,policy__speculative_overheated_district_regime,-0.014246517759034419
1,reb__apt_sale_index,policy__speculative_zone_regime,-0.014246517759035487
1,reb__apt_sale_supply_demand,ecos__base_rate,-0.27122545201224274
1,reb__apt_sale_supply_demand,ecos__cd_91d_rate,-3.556231153674794
1,reb__apt_sale_supply_demand,ecos__cpi_housing,-0.9177844356310534
1,reb__apt_sale_supply_demand,ecos__mortgage_rate_new,-1.6156718128440357
1,reb__apt_sale_supply_demand,ecos__unemployment_rate,1.2535601819369606
1,reb__apt_sale_supply_demand,reb__apt_jeonse_avg_price,0.026038505030438915
1,reb__apt_sale_supply_demand,reb__apt_jeonse_supply_demand,0.2788566370943823
1,reb__apt_sale_supply_demand,reb__apt_monthly_rent_supply_demand,-0.04942363051279313
1,reb__apt_sale_supply_demand,reb__apt_sale_avg_price,0.012804696120985526
1,reb__apt_sale_supply_demand,reb__apt_sale_index,-0.16880529642968178
1,reb__apt_sale_supply_demand,reb__apt_sale_supply_demand,0.241540030944949
1,reb__apt_sale_supply_demand,policy__dsr_regime,-1.0294737518223862
1,reb__apt_sale_supply_demand,policy__dti_regime,0.0476866922409695
1,reb__apt_sale_supply_demand,policy__ltv_regime,0.07105109094148196
1,reb__apt_sale_supply_demand,policy__real_estate_policy_regime,-0.7594182302189366
1,reb__apt_sale_supply_demand,policy__capital_gains_tax_regime,0.339561901405331
1,reb__apt_sale_supply_demand,policy__adjustment_target_area_regime,1.5259813560240734
