,reb__apt_sale_avg_price,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
2028-05-01,1.483330438896741,2.2188537993428508,3.8082704497491084,0.5951189891023558,-0.06469343318363197,0.28321245930181727,0.6317429294261683,0.5047737908159036,-0.08837907573145332,-0.03770598794367902
2028-06-01,1.4530605770667666,2.58445352596205,3.616928567155897,0.6743208685842654,-0.38760623050967546,0.39248111616582726,0.9442363301653156,0.26278446170547753,-0.05069817177459335,-0.0768112994727703
2028-07-01,1.5456448741897044,2.5336004073736773,3.732363515498478,0.3919349736670532,-0.39846782580098006,0.47291282915195954,0.5895556361078746,0.5187867666741073,-0.2822147483929034,0.016399295564995087
2028-08-01,1.6220587450542672,2.4786854549063055,3.9491410107375136,0.29625969283360654,-0.1649880910094751,0.44239421379546684,0.18362095532685552,0.5513963596518701,-0.4597634448761352,-0.05367179546522932
2028-09-01,1.553060750324059,2.7679160689018483,3.98027605171536,0.5682087621567566,-0.17296901317357638,0.205615070655492,0.09613819606725738,0.4112863678715577,-0.3212829364226266,-0.21005288462960015
2028-10-01,1.5692679338930067,2.9802205054859314,3.793545058253083,0.6552069491452404,-0.5068203267884916,0.37637250571781156,0.4582615079822885,0.2984550804978068,-0.3388167675239666,-0.14274246473276292
2028-11-01,1.6665888275306568,2.7434002729705864,3.7426730342965415,0.26461204782012393,-0.6067513366746726,0.5500219798123176,0.5898189031636645,0.37765199001169414,-0.3884594979370002,0.004753199559859478
2028-12-01,1.6738934299053376,2.739863536694803,3.7566474291883427,0.2661589443263055,-0.5479677228836908,0.5207402153274447,0.5338519055304374,0.2641585096101646,-0.4425889743278377,-0.022196644781225294
2029-01-01,1.5818278718259187,2.905998606603438,3.680945008828783,0.4318023042086989,-0.7438230287210845,0.5364748111995552,0.5572403047819527,0.2023246835039787,-0.37923786797321357,-0.04912466712839894
2029-02-01,1.6056027951001859,2.9666750996922935,3.589232011524916,0.48710577444116865,-0.8970762602385656,0.7124333263153919,0.9011604477106192,0.18022789368377534,-0.35669249723362073,0.07629038509812963
2029-03-01,1.7048579462654305,2.827876523601554,3.7491958446481166,0.2075241924105562,-0.823445677383142,0.7183731281951427,0.38858186811570605,0.4617096905901765,-0.49264141151900454,0.2105295250698308
2029-04-01,1.666261462556009,2.9914141041041975,3.852966449169606,0.24624747362230925,-0.7366226413414063,0.5290216630722488,-0.08491458644438543,0.5460665631857515,-0.4670760882419236,0.09939826079383596
2029-05-01,1.5639231418283606,3.2002542627621677,3.8069327327633062,0.37256948875173324,-0.8557067993312697,0.4736287372048804,0.13503887848213347,0.45872754898234236,-0.3506723475781772,0.022040220937823707
2029-06-01,1.6061004197116564,3.020191703591119,3.779459323970885,0.32861413967425035,-0.9501489706085997,0.7594794259345075,0.6100046936235204,0.5099399359062167,-0.3546880474545433,0.24628436257684888
2029-07-01,1.7031992918058128,2.8724849155194367,3.970141000755024,0.3226389606797988,-0.7863540052079812,0.77467720979352,0.27059436513875124,0.7144533629440633,-0.4216985629620882,0.3097296971134458
2029-08-01,1.6355186290082484,3.150308994986308,4.07236000529349,0.44184209546258435,-0.7437259059300874,0.6758602612272027,-0.20088076740489846,0.7471047017076486,-0.3714944840055643,0.1444898151251372
2029-09-01,1.5638616510915364,3.3982941511684857,4.06595544550836,0.5075824079432589,-0.8603641900311609,0.6223482378003662,-0.05241833737178059,0.7333300421092752,-0.27452722229404447,0.13445981060653478
2029-10-01,1.6272206678349785,3.151173984932432,4.0673227181071825,0.32456720169663233,-0.9095477811121291,0.9010917381677892,0.4450577376375584,0.8074782508533034,-0.2867830605615711,0.36389151434692524
2029-11-01,1.7185702224734494,3.0838829152092275,4.136040191111842,0.2634805273618901,-0.8193449455189732,0.9479854674116144,0.4341850718190019,0.799500481171395,-0.26627750540347517,0.36803668556328617
2029-12-01,1.6493375623543973,3.4486364651259485,4.028035397262704,0.40956835952980164,-0.9145814489213762,0.8439641060111014,0.424570025165095,0.6029273790521894,-0.16850926086893603,0.1444881151870735
2030-01-01,1.6147645865859772,3.4878689485044614,3.9348842626152365,0.38118315449059326,-1.0479776726665957,0.8800198621123374,0.8910593542117828,0.44072811816706414,-0.15647485303598296,0.2330627865335132
2030-02-01,1.7162146718305833,3.2023109248104054,4.046083366270985,0.3565387401902811,-0.9823486688075962,1.0359051305588003,1.1150570916356788,0.5243652270274655,-0.24713323770876405,0.43092599186669006
2030-03-01,1.7830075241014156,3.323520690531497,4.265875335865399,0.5271547508141108,-0.7660086373823654,0.8959578111581381,0.5827449341885478,0.572126875540218,-0.26681948460249716,0.2684930775555129
2030-04-01,1.692234097609159,3.6933918059235507,4.324008804286369,0.6737114590112596,-0.6680506259391263,0.6441066981569397,0.22676376004815735,0.4983632557681037,-0.18112835556167095,-0.0439965415983698
2030-05-01,1.6866346226303166,3.5307488381425194,4.2596979781385444,0.5794387866670294,-0.6876052474643304,0.6670524134690847,0.7161556251694297,0.4156408841684889,-0.2164107489394529,0.06024408527152236
2030-06-01,1.7868515912030387,3.101751693383211,4.379847148094436,0.6219244425074462,-0.5589609459408038,0.8446544367519748,0.9905836708021085,0.49738848655745493,-0.32113945394720833,0.28798422131623014
2030-07-01,1.8183548514982717,3.239940836358738,4.539406028357066,0.9734625334370479,-0.3938811838031311,0.7967434204315214,0.4895532628915171,0.49541485801144436,-0.3289546935593557,0.12835028018863737
2030-08-01,1.7463202268320162,3.556654974752008,4.577129491591122,1.1676190332330751,-0.326321026488249,0.7119436780944035,0.20550568193705576,0.4481327068587939,-0.2563474637828942,-0.10050380057632269
2030-09-01,1.7749354946298224,3.294337565289098,4.638862368323682,1.0554225006574116,-0.24032572817969844,0.7819557241693285,0.5223288109233057,0.482947257201773,-0.32674864835444506,0.06189802524347199
2030-10-01,1.870737454407869,2.901409227828535,4.746502207799093,1.0818242856095028,-0.152296889577207,0.8742831130790147,0.7088960140609135,0.5522115202314946,-0.3867224359115613,0.2695380537329332
2030-11-01,1.8500833437086,3.132706069491481,4.728143947155278,1.324212478881329,-0.1922697014812389,0.8624534100815913,0.5191017131454587,0.4303712595976794,-0.3119624935116918,0.11328915284320906
2030-12-01,1.7699833050898683,3.404715518028436,4.582867375371501,1.332146259269297,-0.3265952952660294,0.8954289400607758,0.5980590794035328,0.30145109423053373,-0.2717689956847278,-0.01596293523564657
2031-01-01,1.8294425700804784,3.039649053688311,4.568462466719139,1.0962144696854175,-0.3013921096375549,1.0071122600529128,1.0364065828621127,0.2995367319172417,-0.3746818553195208,0.2340503594681525
2031-02-01,1.9210650376513825,2.7782143358192393,4.698664041049236,1.1968102734506387,-0.24567096868264304,1.0465831734867397,0.9711319043416196,0.37961806790056074,-0.4548603696414837,0.3655739752175058
2031-03-01,1.88675078481142,3.1773156231408364,4.751477781570589,1.4912479605868483,-0.259376080223944,0.9314867488989571,0.4732986284592622,0.3628449313880897,-0.37578304628286485,0.13351540358877362
2031-04-01,1.8485850481897552,3.386526263823307,4.724850594532214,1.392905234000977,-0.2539036162144619,0.8760077083060769,0.3533571243455067,0.384714283832043,-0.3632335342981885,0.020726645697123347
2031-05-01,1.9288510696776882,2.942537293837086,4.793175318726663,1.1462042794203513,-0.12917516884795543,0.9136087867837048,0.6743381380066555,0.49829173476979016,-0.45793158019220614,0.2579899575604366
2031-06-01,1.9962186845498695,2.772935691946591,4.926282753489847,1.3496826641832582,-0.05375785779607467,0.8940648764972003,0.6795593645616216,0.5502256183372185,-0.46078409493839656,0.3293588777149845
